dist,pow,lum
0.004,2.5,279.4
0.004,2.6,287.5
0.004,2.7,295.5
0.004,2.8,303.2
0.004,2.9,310.7
0.004,3,318
0.004,3.1,325.1
0.004,3.2,331.9
0.004,3.3,338.5
0.004,3.4,344.9
0.004,3.5,350.9
0.004,3.6,356.7
0.004,3.7,362.3
0.004,3.8,367.5
0.004,3.9,372.8
0.005,2,197.3
0.005,2.1,205.1
0.005,2.2,212.8
0.005,2.3,220.4
0.005,2.4,227.9
0.005,2.5,235.3
0.005,2.6,242.6
0.005,2.7,249.8
0.005,2.8,256.9
0.005,2.9,263.8
0.005,3,270.5
0.005,3.1,277.2
0.005,3.2,283.8
0.005,3.3,290.1
0.005,3.4,296.3
0.005,3.5,302.4
0.005,3.6,308.4
0.005,3.7,314.1
0.005,3.8,319.6
0.005,3.9,325.1
0.006,2,167.6
0.006,2.1,174.4
0.006,2.2,181.2
0.006,2.3,187.8
0.006,2.4,194.4
0.006,2.5,200.9
0.006,2.6,207.3
0.006,2.7,213.7
0.006,2.8,219.9
0.006,2.9,226.1
0.006,3,232.2
0.006,3.1,238.3
0.006,3.2,244.2
0.006,3.3,250.1
0.006,3.4,255.8
0.006,3.5,261.5
0.006,3.6,267.1
0.006,3.7,272.6
0.006,3.8,277.9
0.006,3.9,283.1
0.007,2,144.8
0.007,2.1,150.8
0.007,2.2,156.7
0.007,2.3,162.6
0.007,2.4,168.4
0.007,2.5,174.2
0.007,2.6,179.9
0.007,2.7,185.5
0.007,2.8,191.1
0.007,2.9,196.6
0.007,3,202.1
0.007,3.1,207.5
0.007,3.2,212.9
0.007,3.3,218.1
0.007,3.4,223.4
0.007,3.5,228.6
0.007,3.6,233.7
0.007,3.7,238.7
0.007,3.8,243.7
0.007,3.9,248.6
0.008,2,126.5
0.008,2.1,131.8
0.008,2.2,137.1
0.008,2.3,142.3
0.008,2.4,147.4
0.008,2.5,152.5
0.008,2.6,157.6
0.008,2.7,162.6
0.008,2.8,167.6
0.008,2.9,172.6
0.008,3,177.5
0.008,3.1,182.3
0.008,3.2,187.1
0.008,3.3,191.9
0.008,3.4,196.6
0.008,3.5,201.3
0.008,3.6,206
0.008,3.7,210.6
0.008,3.8,215.1
0.008,3.9,219.6
0.009,2,111.4
0.009,2.1,116.2
0.009,2.2,121
0.009,2.3,125.6
0.009,2.4,130.3
0.009,2.5,134.8
0.009,2.6,139.4
0.009,2.7,143.9
0.009,2.8,148.3
0.009,2.9,152.8
0.009,3,157.2
0.009,3.1,161.6
0.009,3.2,165.9
0.009,3.3,170.2
0.009,3.4,174.5
0.009,3.5,178.7
0.009,3.6,182.9
0.009,3.7,187.1
0.009,3.8,191.2
0.009,3.9,195.4
0.01,2,99
0.01,2.1,103.4
0.01,2.2,107.8
0.01,2.3,112
0.01,2.4,116.2
0.01,2.5,120.4
0.01,2.6,124.5
0.01,2.7,128.5
0.01,2.8,132.6
0.01,2.9,136.6
0.01,3,140.6
0.01,3.1,144.5
0.01,3.2,148.5
0.01,3.3,152.4
0.01,3.4,156.3
0.01,3.5,160.1
0.01,3.6,163.9
0.01,3.7,167.7
0.01,3.8,171.5
0.01,3.9,175.3
0.011,2,88.5
0.011,2.1,92.5
0.011,2.2,96.4
0.011,2.3,100.3
0.011,2.4,104.2
0.011,2.5,108
0.011,2.6,111.7
0.011,2.7,115.4
0.011,2.8,119.1
0.011,2.9,122.7
0.011,3,126.3
0.011,3.1,129.9
0.011,3.2,133.5
0.011,3.3,137
0.011,3.4,140.6
0.011,3.5,144.1
0.011,3.6,147.6
0.011,3.7,151
0.011,3.8,154.5
0.011,3.9,157.9
0.012,2,79.6
0.012,2.1,83.3
0.012,2.2,87
0.012,2.3,90.5
0.012,2.4,94.1
0.012,2.5,97.6
0.012,2.6,101
0.012,2.7,104.4
0.012,2.8,107.8
0.012,2.9,111.1
0.012,3,114.4
0.012,3.1,117.7
0.012,3.2,120.9
0.012,3.3,124.2
0.012,3.4,127.4
0.012,3.5,130.6
0.012,3.6,133.8
0.012,3.7,137
0.012,3.8,140.1
0.012,3.9,143.3
0.013,2,72
0.013,2.1,75.4
0.013,2.2,78.8
0.013,2.3,82.1
0.013,2.4,85.4
0.013,2.5,88.6
0.013,2.6,91.8
0.013,2.7,94.9
0.013,2.8,98
0.013,2.9,101.1
0.013,3,104.1
0.013,3.1,107.2
0.013,3.2,110.1
0.013,3.3,113.1
0.013,3.4,116.1
0.013,3.5,119
0.013,3.6,122
0.013,3.7,124.9
0.013,3.8,127.8
0.013,3.9,130.7
0.014,2,65.4
0.014,2.1,68.6
0.014,2.2,71.7
0.014,2.3,74.8
0.014,2.4,77.9
0.014,2.5,80.9
0.014,2.6,83.8
0.014,2.7,86.7
0.014,2.8,89.6
0.014,2.9,92.5
0.014,3,95.3
0.014,3.1,98.1
0.014,3.2,100.9
0.014,3.3,103.6
0.014,3.4,106.4
0.014,3.5,109.1
0.014,3.6,111.8
0.014,3.7,114.5
0.014,3.8,117.2
0.014,3.9,119.8
0.015,2,59.9
0.015,2.1,62.8
0.015,2.2,65.7
0.015,2.3,68.6
0.015,2.4,71.4
0.015,2.5,74.2
0.015,2.6,77
0.015,2.7,79.7
0.015,2.8,82.4
0.015,2.9,85
0.015,3,87.6
0.015,3.1,90.3
0.015,3.2,92.8
0.015,3.3,95.4
0.015,3.4,97.9
0.015,3.5,100.5
0.015,3.6,103
0.015,3.7,105.5
0.015,3.8,108
0.015,3.9,110.4
0.016,2,54.9
0.016,2.1,57.6
0.016,2.2,60.3
0.016,2.3,63
0.016,2.4,65.6
0.016,2.5,68.2
0.016,2.6,70.8
0.016,2.7,73.4
0.016,2.8,75.9
0.016,2.9,78.3
0.016,3,80.8
0.016,3.1,83.2
0.016,3.2,85.6
0.016,3.3,88
0.016,3.4,90.4
0.016,3.5,92.8
0.016,3.6,95.1
0.016,3.7,97.4
0.016,3.8,99.7
0.016,3.9,102
0.017,2,50.6
0.017,2.1,53.1
0.017,2.2,55.6
0.017,2.3,58.1
0.017,2.4,60.6
0.017,2.5,63
0.017,2.6,65.4
0.017,2.7,67.8
0.017,2.8,70.2
0.017,2.9,72.5
0.017,3,74.8
0.017,3.1,77.1
0.017,3.2,79.3
0.017,3.3,81.6
0.017,3.4,83.8
0.017,3.5,86
0.017,3.6,88.2
0.017,3.7,90.4
0.017,3.8,92.6
0.017,3.9,94.7
0.018,2,46.8
0.018,2.1,49.2
0.018,2.2,51.5
0.018,2.3,53.8
0.018,2.4,56.1
0.018,2.5,58.3
0.018,2.6,60.6
0.018,2.7,62.8
0.018,2.8,65.1
0.018,2.9,67.3
0.018,3,69.4
0.018,3.1,71.6
0.018,3.2,73.7
0.018,3.3,75.8
0.018,3.4,77.9
0.018,3.5,80
0.018,3.6,82
0.018,3.7,84.1
0.018,3.8,86.1
0.018,3.9,88.1
0.019,2,43.5
0.019,2.1,45.6
0.019,2.2,47.8
0.019,2.3,49.9
0.019,2.4,52.1
0.019,2.5,54.2
0.019,2.6,56.3
0.019,2.7,58.4
0.019,2.8,60.5
0.019,2.9,62.6
0.019,3,64.6
0.019,3.1,66.7
0.019,3.2,68.7
0.019,3.3,70.6
0.019,3.4,72.6
0.019,3.5,74.6
0.019,3.6,76.5
0.019,3.7,78.4
0.019,3.8,80.3
0.019,3.9,82.2
0.02,2,40.5
0.02,2.1,42.5
0.02,2.2,44.5
0.02,2.3,46.5
0.02,2.4,48.5
0.02,2.5,50.5
0.02,2.6,52.4
0.02,2.7,54.4
0.02,2.8,56.4
0.02,2.9,58.3
0.02,3,60.3
0.02,3.1,62.2
0.02,3.2,64.1
0.02,3.3,65.9
0.02,3.4,67.8
